model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Qwen--Qwen2.5-Coder-7B-Instruct,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,3584,3584,,model.layers.0.self_attn.q_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,512,3584,,model.layers.0.self_attn.k_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,512,3584,,model.layers.0.self_attn.v_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=28, KVH=4; effective KV may be capped by sliding_window=131072"
models--Qwen--Qwen2.5-Coder-7B-Instruct,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-Coder-7B-Instruct,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,3584,3584,5,model.layers.0.self_attn.o_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,18944,3584,6,model.layers.0.mlp.gate_proj.weight,"[18944,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,18944,3584,6,model.layers.0.mlp.up_proj.weight,"[18944,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,3584,18944,7;8,model.layers.0.mlp.down_proj.weight,"[3584,18944]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen2.5-Coder-7B-Instruct,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,3584,3584,9,model.layers.1.self_attn.q_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,512,3584,9,model.layers.1.self_attn.k_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,512,3584,9,model.layers.1.self_attn.v_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=28, KVH=4; effective KV may be capped by sliding_window=131072"
models--Qwen--Qwen2.5-Coder-7B-Instruct,14,prefill,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,S,128,S,13;12,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-Coder-7B-Instruct,15,prefill,1,model.layers.1.self_attn.o_proj,linear,,B*S,3584,3584,14,model.layers.1.self_attn.o_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,16,prefill,1,model.layers.1.mlp.gate_proj,linear,,B*S,18944,3584,15,model.layers.1.mlp.gate_proj.weight,"[18944,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,17,prefill,1,model.layers.1.mlp.up_proj,linear,,B*S,18944,3584,15,model.layers.1.mlp.up_proj.weight,"[18944,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,18,prefill,1,model.layers.1.mlp.down_proj,linear,,B*S,3584,18944,16;17,model.layers.1.mlp.down_proj.weight,"[3584,18944]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen2.5-Coder-7B-Instruct,19,prefill,2,model.layers.2.self_attn.q_proj,linear,,B*S,3584,3584,18,model.layers.2.self_attn.q_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,20,prefill,2,model.layers.2.self_attn.k_proj,linear,,B*S,512,3584,18,model.layers.2.self_attn.k_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,21,prefill,2,model.layers.2.self_attn.v_proj,linear,,B*S,512,3584,18,model.layers.2.self_attn.v_proj.weight,"[512,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,22,prefill,2,model.layers.2.self_attn.qk,batched_matmul,B*QH,S,S,128,19;20,,,config+architecture,"GQA QH=28, KVH=4; effective KV may be capped by sliding_window=131072"
models--Qwen--Qwen2.5-Coder-7B-Instruct,23,prefill,2,model.layers.2.self_attn.pv,batched_matmul,B*QH,S,128,S,22;21,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen2.5-Coder-7B-Instruct,24,prefill,2,model.layers.2.self_attn.o_proj,linear,,B*S,3584,3584,23,model.layers.2.self_attn.o_proj.weight,"[3584,3584]",config+architecture,
models--Qwen--Qwen2.5-Coder-7B-Instruct,25,prefill,2,model.layers.2.mlp.gate_proj,linear,,B*S,18944,3584,24,model.layers.2.mlp.gate_proj.weight,"[18944,3584]",config+architecture,
